S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
167,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1220000,-,1507,Strata,01 to 05,810,17-Dec
168,SEASONS VIEW,PEMIMPIN DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1996,Resale,1,1280000,-,1141,Strata,06 to 10,1122,17-Nov
169,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1040000,-,1227,Strata,11 to 15,848,17-Nov
170,WOODHAVEN,WOODGROVE AVENUE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,875000,-,850,Strata,01 to 05,1029,17-Nov
171,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1686600,-,1195,Strata,16 to 20,1412,17-Nov
172,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,831000,-,495,Strata,16 to 20,1678,17-Nov
173,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1323000,-,958,Strata,01 to 05,1381,17-Nov
174,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1674800,-,1163,Strata,21 to 25,1441,17-Nov
175,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1120000,-,1119,Strata,01 to 05,1000,17-Nov
176,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,512000,-,431,Strata,01 to 05,1189,17-Nov
177,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,645000,-,603,Strata,01 to 05,1070,17-Nov
178,THOMSON THREE,BRIGHT HILL DRIVE,Apartment,20,RCR,99 yrs lease commencing from 2012,Resale,1,1100000,-,732,Strata,16 to 20,1503,17-Nov
179,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2408000,-,1798,Strata,01 to 05,1340,17-Nov
180,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2167900,-,1518,Strata,06 to 10,1428,17-Nov
181,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1400000,-,872,Strata,01 to 05,1606,17-Nov
182,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2504700,-,1733,Strata,26 to 30,1445,17-Nov
183,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1714600,-,1195,Strata,16 to 20,1435,17-Nov
184,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2019000,-,1399,Strata,21 to 25,1443,17-Nov
185,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2109700,-,1399,Strata,06 to 10,1508,17-Nov
186,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1733800,-,1324,Strata,01 to 05,1310,17-Nov
187,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2727900,-,1830,Strata,16 to 20,1491,17-Nov
188,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2412700,-,1798,Strata,01 to 05,1342,17-Nov
189,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1940900,-,1399,Strata,01 to 05,1387,17-Nov
190,WOODHAVEN,WOODGROVE AVENUE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,640000,-,624,Strata,01 to 05,1025,17-Nov
191,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,908000,-,721,Strata,06 to 10,1259,17-Nov
192,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,Sub Sale,1,1380000,-,990,Strata,06 to 10,1394,17-Nov
193,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1320000,-,1227,Strata,16 to 20,1076,17-Nov
194,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2139600,-,1518,Strata,11 to 15,1410,17-Nov
195,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1739100,-,1378,Strata,01 to 05,1262,17-Nov
196,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1227000,-,1163,Strata,06 to 10,1055,17-Nov
197,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1048888,-,1227,Strata,01 to 05,855,17-Nov
198,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,670000,-,764,Strata,01 to 05,877,17-Nov
199,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1890900,-,1281,Strata,21 to 25,1476,17-Nov
200,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2236500,-,1464,Strata,26 to 30,1528,17-Nov
201,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1966300,-,1206,Strata,11 to 15,1631,17-Nov
202,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2129600,-,1518,Strata,06 to 10,1403,17-Nov
203,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2177800,-,1518,Strata,11 to 15,1435,17-Nov
204,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1678000,-,1163,Strata,11 to 15,1443,17-Nov
205,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,940888,-,861,Strata,16 to 20,1093,17-Nov
206,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2398500,-,1798,Strata,01 to 05,1334,17-Nov
207,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1653300,-,1163,Strata,06 to 10,1422,17-Nov
208,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1668200,-,1163,Strata,06 to 10,1435,17-Nov
209,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2846900,-,1819,Strata,16 to 20,1565,17-Nov
210,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2019800,-,1399,Strata,06 to 10,1443,17-Nov
211,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1020000,-,1001,Strata,11 to 15,1019,17-Nov
212,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2367600,-,1399,Strata,21 to 25,1692,17-Nov
213,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,1557808,-,1055,Strata,11 to 15,1477,17-Nov
214,PEIRCE VIEW,UPPER THOMSON ROAD,Condominium,20,OCR,Freehold,Resale,1,1285000,-,1281,Strata,01 to 05,1003,17-Nov
215,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,878000,-,893,Strata,06 to 10,983,17-Nov
216,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1306380,-,1206,Strata,06 to 10,1084,17-Nov
217,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1199000,-,872,Strata,01 to 05,1375,17-Nov
218,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1209000,-,958,Strata,16 to 20,1262,17-Nov
219,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,525000,-,431,Strata,01 to 05,1219,17-Nov
220,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1074000,-,818,Strata,01 to 05,1313,17-Nov
221,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1310000,-,1001,Strata,16 to 20,1309,17-Nov
222,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,Sub Sale,1,720000,-,452,Strata,11 to 15,1593,17-Nov
223,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1702000,-,1346,Strata,16 to 20,1265,17-Nov
224,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1000000,-,936,Strata,11 to 15,1068,17-Nov
225,SEASONS VIEW,PEMIMPIN DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1996,Resale,1,980000,-,969,Strata,11 to 15,1012,17-Nov
226,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1975664,-,1410,Strata,26 to 30,1401,17-Nov
227,WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,Condominium,25,OCR,99 yrs lease commencing from 1997,Resale,1,1425000,-,2056,Strata,01 to 05,693,17-Nov
228,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,515000,-,431,Strata,01 to 05,1196,17-Nov
229,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1897773,-,1399,Strata,06 to 10,1356,17-Nov
230,CLOVER BY THE PARK,BISHAN STREET 25,Condominium,20,RCR,99 yrs lease commencing from 2007,Resale,1,1628000,-,1292,Strata,26 to 30,1260,17-Nov
231,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,770000,-,635,Strata,16 to 20,1212,17-Nov
232,J GATEWAY,GATEWAY DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2012,Resale,1,840000,-,527,Strata,01 to 05,1593,17-Nov
233,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2693658,-,1722,Strata,16 to 20,1564,17-Nov
234,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1049000,-,775,Strata,01 to 05,1354,17-Nov
235,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1335000,-,980,Strata,01 to 05,1363,17-Nov
236,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,1300000,-,1776,Strata,01 to 05,732,17-Nov
237,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1090000,-,1227,Strata,16 to 20,888,17-Nov
238,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,955000,-,721,Strata,06 to 10,1324,17-Nov
239,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,628000,-,581,Strata,01 to 05,1080,17-Nov
240,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,1050000,-,1227,Strata,01 to 05,856,17-Nov
241,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1264000,-,958,Strata,16 to 20,1319,17-Nov
242,CASABLANCA,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2001,Resale,1,755000,-,904,Strata,01 to 05,835,17-Nov
243,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1060000,-,818,Strata,01 to 05,1296,17-Nov
244,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,980000,-,678,Strata,11 to 15,1445,17-Nov
245,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1066000,-,818,Strata,01 to 05,1303,17-Nov
246,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1160000,-,1141,Strata,16 to 20,1017,17-Nov
247,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1621000,-,1173,Strata,11 to 15,1382,17-Nov
248,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1929686,-,1399,Strata,06 to 10,1379,17-Nov
249,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,560000,-,506,Strata,01 to 05,1107,17-Nov
250,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1551730,-,1163,Strata,01 to 05,1335,17-Nov
251,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2372245,-,1798,Strata,01 to 05,1320,17-Nov
252,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2121730,-,1507,Strata,21 to 25,1408,17-Nov
253,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1951015,-,1389,Strata,11 to 15,1405,17-Nov
254,BISHAN POINT,BRIGHT HILL DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1250000,-,1184,Strata,06 to 10,1056,17-Nov
255,ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2000,Resale,1,1020000,-,1464,Strata,11 to 15,697,17-Nov
256,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2683560,-,1830,Strata,26 to 30,1467,17-Nov
257,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1561230,-,1163,Strata,01 to 05,1343,17-Nov
258,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1288000,-,829,Strata,21 to 25,1554,17-Nov
259,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,985000,-,1152,Strata,16 to 20,855,17-Nov
260,J GATEWAY,GATEWAY DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2012,Resale,1,915000,-,506,Strata,21 to 25,1809,17-Nov
261,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1919950,-,1410,Strata,11 to 15,1362,17-Nov
262,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2739300,-,1841,Strata,26 to 30,1488,17-Nov
263,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1238000,-,1507,Strata,01 to 05,822,17-Nov
264,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2283135,-,1798,Strata,01 to 05,1270,17-Nov
265,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1453000,-,872,Strata,01 to 05,1667,17-Nov
266,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1053000,-,775,Strata,06 to 10,1359,17-Nov
267,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1286000,-,1206,Strata,11 to 15,1067,17-Nov
268,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 yrs lease commencing from 2015,New Sale,1,808700,-,463,Strata,16 to 20,1747,17-Nov
269,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2244800,-,1679,Strata,01 to 05,1337,17-Nov
270,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1500000,-,1582,Strata,01 to 05,948,17-Nov
271,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,680000,-,603,Strata,01 to 05,1128,17-Nov
272,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1255000,-,797,Strata,06 to 10,1576,17-Nov
273,RAFFLESIA CONDOMINIUM,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1480000,-,1442,Strata,01 to 05,1026,17-Nov
274,FLAME TREE PARK,SIN MING AVENUE,Condominium,20,RCR,Freehold,Resale,1,2530000,-,1862,Strata,21 to 25,1359,17-Nov
275,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1150000,-,1389,Strata,01 to 05,828,17-Nov
276,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,812000,-,1044,Strata,01 to 05,778,17-Nov
277,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1187000,-,969,Strata,16 to 20,1225,17-Nov
278,ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2000,Resale,1,1030000,-,1475,Strata,11 to 15,698,17-Nov
279,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,1010000,-,1249,Strata,06 to 10,809,17-Nov
280,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1870455,-,1399,Strata,06 to 10,1337,17-Nov
281,J GATEWAY,GATEWAY DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2012,Resale,1,810000,-,495,Strata,06 to 10,1636,17-Oct
282,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1005000,-,775,Strata,01 to 05,1297,17-Oct
283,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1055000,-,775,Strata,11 to 15,1361,17-Oct
284,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1182000,-,969,Strata,16 to 20,1220,17-Oct
285,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1070000,-,818,Strata,01 to 05,1308,17-Oct
286,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1080000,-,818,Strata,01 to 05,1320,17-Oct
287,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1290000,-,807,Strata,11 to 15,1598,17-Oct
288,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1100000,-,1033,Strata,06 to 10,1065,17-Oct
289,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1213000,-,958,Strata,16 to 20,1266,17-Oct
290,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1034000,-,775,Strata,06 to 10,1334,17-Oct
291,J GATEWAY,GATEWAY DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2012,Sub Sale,1,1000000,-,689,Strata,01 to 05,1452,17-Oct
292,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,750000,-,807,Strata,01 to 05,929,17-Oct
293,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,830000,-,495,Strata,11 to 15,1676,17-Oct
294,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1051000,-,775,Strata,11 to 15,1356,17-Oct
295,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1074000,-,818,Strata,01 to 05,1313,17-Oct
296,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2204400,-,1507,Strata,21 to 25,1463,17-Oct
297,BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,102 yrs lease commencing from 1978,Resale,1,1600000,-,1701,Strata,06 to 10,941,17-Oct
298,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1150000,-,1001,Strata,11 to 15,1149,17-Oct
299,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1063000,-,775,Strata,16 to 20,1372,17-Oct
300,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1575000,-,1152,Strata,01 to 05,1367,17-Oct
301,LAKEPOINT CONDOMINIUM,LAKEPOINT DRIVE,Condominium,22,OCR,99 yrs lease commencing from 1983,Resale,1,1200000,-,2217,Strata,06 to 10,541,17-Oct
302,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,830000,-,495,Strata,16 to 20,1676,17-Oct
303,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1210000,-,1119,Strata,06 to 10,1081,17-Oct
304,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1050000,-,1001,Strata,11 to 15,1049,17-Oct
305,WOODHAVEN,WOODGROVE AVENUE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,627000,-,592,Strata,01 to 05,1059,17-Oct
306,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1128000,-,635,Strata,26 to 30,1776,17-Oct
307,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1010000,-,775,Strata,11 to 15,1303,17-Oct
308,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1437000,-,872,Strata,01 to 05,1648,17-Oct
309,J GATEWAY,GATEWAY DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2012,Sub Sale,1,1288000,-,743,Strata,11 to 15,1734,17-Oct
310,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1080000,-,990,Strata,16 to 20,1091,17-Oct
311,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,910000,-,1076,Strata,16 to 20,845,17-Oct
312,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1350000,-,829,Strata,21 to 25,1629,17-Oct
313,SEASONS VIEW,PEMIMPIN DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1996,Resale,1,920000,-,969,Strata,01 to 05,950,17-Oct
314,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1212000,-,1227,Strata,01 to 05,988,17-Oct
315,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1610000,-,1173,Strata,16 to 20,1372,17-Oct
316,WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,Condominium,25,OCR,99 yrs lease commencing from 1997,Resale,1,855000,-,1238,Strata,01 to 05,691,17-Oct
317,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1015000,-,775,Strata,01 to 05,1310,17-Oct
318,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1040000,-,678,Strata,11 to 15,1534,17-Oct
319,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,648000,-,603,Strata,01 to 05,1075,17-Oct
320,FLORAVIEW,ANG MO KIO STREET 66,Apartment,20,OCR,Freehold,Sub Sale,1,903000,-,753,Strata,01 to 05,1198,17-Oct
321,RAFFLESIA CONDOMINIUM,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,990000,-,915,Strata,06 to 10,1082,17-Oct
322,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,828888,-,484,Strata,06 to 10,1711,17-Oct
323,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1300000,-,1259,Strata,06 to 10,1032,17-Oct
324,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,1830000,-,1421,Strata,16 to 20,1288,17-Oct
325,J GATEWAY,GATEWAY DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2012,Sub Sale,1,850000,-,474,Strata,26 to 30,1795,17-Oct
326,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1019000,-,775,Strata,01 to 05,1315,17-Oct
