"URBAN REDEVELOPMENT AUTHORITY - RENTAL CONTRACTS OF PRIVATE RESIDENTIAL PROPERTIES"

"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq m)","Lease Commencement Date"
"768","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2200","80 to 90","Aug-2016"
"769","FORESTVILLE","WOODLANDS DRIVE 16","25","Executive Condominium","3","3000","90 to 100","Aug-2016"
"770","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2900","100 to 110","Aug-2016"
"771","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2600","100 to 110","Aug-2016"
"772","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Aug-2016"
"773","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Aug-2016"
"774","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2500","100 to 110","Aug-2016"
"775","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Aug-2016"
"776","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Aug-2016"
"777","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Aug-2016"
"778","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Aug-2016"
"779","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4200","120 to 130","Aug-2016"
"780","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Aug-2016"
"781","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3700","130 to 140","Aug-2016"
"782","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2800","110 to 120","Aug-2016"
"783","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","110 to 120","Aug-2016"
"784","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","4200","130 to 140","Aug-2016"
"785","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2100","110 to 120","Aug-2016"
"786","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Aug-2016"
"787","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Aug-2016"
"788","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3500","100 to 110","Aug-2016"
"789","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","110 to 120","Aug-2016"
"790","TWIN FOUNTAINS","WOODLANDS AVENUE 6","25","Executive Condominium","3","750","90 to 100","Aug-2016"
"791","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","4400","130 to 140","Aug-2016"
"792","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","120 to 130","Aug-2016"
"793","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Aug-2016"
"794","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2200","110 to 120","Aug-2016"
"795","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3500","100 to 110","Aug-2016"
"796","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3700","130 to 140","Aug-2016"
"797","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","110 to 120","Aug-2016"
"798","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","1900","90 to 100","Aug-2016"
"799","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Aug-2016"
"800","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","5200","260 to 270","Aug-2016"
"801","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3200","130 to 140","Aug-2016"
"802","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2400","120 to 130","Aug-2016"
"803","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Aug-2016"
"804","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Aug-2016"
"805","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Aug-2016"
"806","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","110 to 120","Aug-2016"
"807","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2450","110 to 120","Aug-2016"
"808","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Aug-2016"
"809","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3200","140 to 150","Aug-2016"
"810","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2550","120 to 130","Aug-2016"
"811","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","120 to 130","Aug-2016"
"812","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","130 to 140","Aug-2016"
"813","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3700","120 to 130","Aug-2016"
"814","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2350","120 to 130","Aug-2016"
"815","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3700","100 to 110","Aug-2016"
"816","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","120 to 130","Aug-2016"
"817","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Aug-2016"
"818","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Jul-2016"
"819","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Jul-2016"
"820","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Jul-2016"
"821","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","130 to 140","Jul-2016"
"822","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Jul-2016"
"823","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2200","120 to 130","Jul-2016"
"824","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","110 to 120","Jul-2016"
"825","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2200","100 to 110","Jul-2016"
"826","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Jul-2016"
"827","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","4","3500","220 to 230","Jul-2016"
"828","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2600","110 to 120","Jul-2016"
"829","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3500","120 to 130","Jul-2016"
"830","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2700","110 to 120","Jul-2016"
"831","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3300","100 to 110","Jul-2016"
"832","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Jul-2016"
"833","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","110 to 120","Jul-2016"
"834","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","110 to 120","Jul-2016"
"835","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","120 to 130","Jul-2016"
"836","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2000","90 to 100","Jul-2016"
"837","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2350","110 to 120","Jul-2016"
"838","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Jul-2016"
"839","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Jul-2016"
"840","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2650","110 to 120","Jul-2016"
"841","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2900","110 to 120","Jul-2016"
"842","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","110 to 120","Jul-2016"
"843","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2650","120 to 130","Jul-2016"
"844","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2600","100 to 110","Jul-2016"
"845","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3200","130 to 140","Jul-2016"
"846","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","110 to 120","Jul-2016"
"847","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2850","110 to 120","Jul-2016"
"848","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4000","120 to 130","Jul-2016"
"849","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2500","100 to 110","Jul-2016"
"850","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","120 to 130","Jul-2016"
"851","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2200","110 to 120","Jul-2016"
"852","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2700","110 to 120","Jul-2016"
"853","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Jul-2016"
"854","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2200","90 to 100","Jul-2016"
"855","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","130 to 140","Jul-2016"
"856","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Jul-2016"
"857","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Jul-2016"
"858","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2100","90 to 100","Jul-2016"
"859","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","130 to 140","Jul-2016"
"860","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","120 to 130","Jul-2016"
"861","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2600","100 to 110","Jul-2016"
"862","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Jul-2016"
"863","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2900","120 to 130","Jul-2016"
"864","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","120 to 130","Jul-2016"
"865","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","4","3300","130 to 140","Jul-2016"
"866","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","110 to 120","Jul-2016"
"867","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Jun-2016"
"868","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2450","110 to 120","Jun-2016"
"869","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Jun-2016"
"870","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","120 to 130","Jun-2016"
"871","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3700","100 to 110","Jun-2016"
"872","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2600","110 to 120","Jun-2016"
"873","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3300","210 to 220","Jun-2016"
"874","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2800","110 to 120","Jun-2016"
"875","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","4000","130 to 140","Jun-2016"
"876","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","110 to 120","Jun-2016"
"877","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","110 to 120","Jun-2016"
"878","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2450","110 to 120","Jun-2016"
"879","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2700","120 to 130","Jun-2016"
"880","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2700","120 to 130","Jun-2016"
"881","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2550","110 to 120","Jun-2016"
"882","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Jun-2016"
"883","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2750","110 to 120","Jun-2016"
"884","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2400","120 to 130","Jun-2016"
"885","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2600","110 to 120","Jun-2016"
"886","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","110 to 120","Jun-2016"
"887","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","120 to 130","Jun-2016"
"888","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2700","110 to 120","Jun-2016"
"889","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2700","110 to 120","Jun-2016"
"890","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Jun-2016"
"891","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Jun-2016"
"892","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2900","110 to 120","Jun-2016"
"893","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","120 to 130","Jun-2016"
"894","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2800","150 to 160","Jun-2016"
"895","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Jun-2016"
"896","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Jun-2016"
"897","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3400","120 to 130","Jun-2016"
"898","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2350","120 to 130","Jun-2016"
"899","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","130 to 140","Jun-2016"
"900","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3100","110 to 120","Jun-2016"
"901","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2300","120 to 130","Jun-2016"
"902","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Jun-2016"
"903","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3400","140 to 150","Jun-2016"
"904","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3150","110 to 120","Jun-2016"
"905","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","110 to 120","Jun-2016"
"906","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Jun-2016"
"907","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Jun-2016"
"908","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","120 to 130","Jun-2016"
"909","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2700","120 to 130","Jun-2016"
"910","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","3850","250 to 260","Jun-2016"
"911","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","Jun-2016"
"912","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2450","110 to 120","Jun-2016"
"913","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","Jun-2016"
"914","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2450","120 to 130","Jun-2016"
"915","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","130 to 140","May-2016"
"916","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","3800","130 to 140","May-2016"
"917","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3500","120 to 130","May-2016"
"918","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3300","110 to 120","May-2016"
"919","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2100","90 to 100","May-2016"
"920","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2500","100 to 110","May-2016"
"921","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","4500","240 to 250","May-2016"
"922","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2000","80 to 90","May-2016"
"923","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","110 to 120","May-2016"
"924","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","3000","120 to 130","May-2016"
"925","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2000","80 to 90","May-2016"
"926","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","3000","120 to 130","May-2016"
"927","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2300","80 to 90","May-2016"
"928","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2200","100 to 110","May-2016"
"929","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","May-2016"
"930","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","3100","110 to 120","May-2016"
"931","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","110 to 120","May-2016"
"932","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2390","120 to 130","May-2016"
"933","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3300","170 to 180","May-2016"
"934","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","120 to 130","May-2016"
"935","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","110 to 120","May-2016"
"936","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","110 to 120","May-2016"
"937","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2900","150 to 160","May-2016"
"938","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","130 to 140","May-2016"
"939","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2700","120 to 130","May-2016"
"940","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2850","80 to 90","May-2016"
"941","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2750","100 to 110","May-2016"
"942","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2600","100 to 110","May-2016"
"943","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","4","3750","130 to 140","May-2016"
"944","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3000","100 to 110","May-2016"
"945","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2750","130 to 140","May-2016"
"946","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3100","100 to 110","May-2016"
"947","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","120 to 130","May-2016"
"948","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2600","110 to 120","May-2016"
"949","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2950","110 to 120","May-2016"
"950","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2900","100 to 110","May-2016"
"951","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2750","120 to 130","May-2016"
"952","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","110 to 120","May-2016"
"953","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","May-2016"
"954","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4250","130 to 140","Apr-2016"
"955","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3860","130 to 140","Apr-2016"
"956","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2400","110 to 120","Apr-2016"
"957","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Apr-2016"
"958","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Apr-2016"
"959","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3200","100 to 110","Apr-2016"
"960","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2850","110 to 120","Apr-2016"
"961","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2850","110 to 120","Apr-2016"
"962","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2600","110 to 120","Apr-2016"
"963","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Apr-2016"
"964","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","110 to 120","Apr-2016"
"965","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Apr-2016"
"966","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2800","120 to 130","Apr-2016"
"967","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2900","120 to 130","Apr-2016"
"968","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2100","90 to 100","Apr-2016"
"969","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","100 to 110","Apr-2016"
"970","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3000","110 to 120","Apr-2016"
"971","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2400","120 to 130","Apr-2016"
"972","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2848","110 to 120","Apr-2016"
"973","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2850","110 to 120","Apr-2016"
"974","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","3900","120 to 130","Apr-2016"
"975","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","120 to 130","Apr-2016"
"976","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","120 to 130","Apr-2016"
"977","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","120 to 130","Apr-2016"
"978","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4000","130 to 140","Apr-2016"
"979","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Apr-2016"
"980","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","900","120 to 130","Apr-2016"
"981","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Apr-2016"
"982","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2500","110 to 120","Apr-2016"
"983","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2900","120 to 130","Apr-2016"
"984","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2650","110 to 120","Apr-2016"
"985","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2800","110 to 120","Mar-2016"
"986","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2600","120 to 130","Mar-2016"
"987","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2900","110 to 120","Mar-2016"
"988","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3100","100 to 110","Mar-2016"
"989","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3800","120 to 130","Mar-2016"
"990","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2900","110 to 120","Mar-2016"
"991","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","120 to 130","Mar-2016"
"992","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Mar-2016"
"993","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2300","120 to 130","Mar-2016"
"994","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2750","130 to 140","Mar-2016"
"995","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2600","110 to 120","Mar-2016"
"996","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2700","110 to 120","Mar-2016"
"997","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2650","110 to 120","Mar-2016"
"998","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2900","110 to 120","Mar-2016"
"999","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4300","120 to 130","Mar-2016"
"1000","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3200","110 to 120","Mar-2016"
"1001","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","2900","110 to 120","Mar-2016"
"1002","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2750","120 to 130","Mar-2016"
"1003","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2900","110 to 120","Mar-2016"
"1004","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2800","90 to 100","Mar-2016"
"1005","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","3200","120 to 130","Mar-2016"
"1006","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","5250","210 to 220","Mar-2016"
"1007","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","180 to 190","Mar-2016"
"1008","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","120 to 130","Mar-2016"
"1009","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2800","110 to 120","Mar-2016"
"1010","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2550","110 to 120","Mar-2016"
"1011","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2900","120 to 130","Mar-2016"
"1012","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2900","110 to 120","Mar-2016"
"1013","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2500","110 to 120","Mar-2016"
"1014","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2950","120 to 130","Mar-2016"
"1015","THE FLORAVALE","WESTWOOD AVENUE","22","Executive Condominium","3","2600","130 to 140","Mar-2016"
"1016","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2400","110 to 120","Mar-2016"
"1017","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2700","100 to 110","Mar-2016"
"1018","NUOVO","ANG MO KIO AVENUE 9","20","Executive Condominium","3","2900","110 to 120","Mar-2016"
"1019","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","3","2400","110 to 120","Mar-2016"
"1020","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","3","2700","110 to 120","Mar-2016"
"1021","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Mar-2016"
"1022","WESTMERE","JURONG EAST STREET 13","22","Executive Condominium","3","3100","100 to 110","Mar-2016"
"1023","WOODSVALE","WOODLANDS DRIVE 72","25","Executive Condominium","3","2500","110 to 120","Mar-2016"
"1024","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Mar-2016"
